ImageNumber,ExpectedValue,InOptions,OptionPosition
34833,2,NON,-1
34834,9,OUI,2
34835,7,OUI,0
34836,5,OUI,2
34837,7,NON,-1
34838,9,NON,-1
34839,0,NON,-1
34840,6,NON,-1
34841,5,NON,-1
34842,8,NON,-1
34843,5,NON,-1
34844,9,OUI,24
34845,3,OUI,4
34846,3,NON,-1
34847,0,NON,-1
34848,2,OUI,5
34849,1,OUI,2
34850,2,NON,-1
34851,2,NON,-1
34852,1,OUI,7
34853,3,OUI,0
34854,0,OUI,7
34855,4,OUI,0
34856,2,OUI,2
34857,5,NON,-1
34858,5,NON,-1
34859,6,NON,-1
34860,4,NON,-1
34861,7,NON,-1
34862,3,OUI,0
34863,8,OUI,10
34864,2,OUI,14
34865,9,NON,-1
34866,3,OUI,0
34867,0,NON,-1
34868,5,NON,-1
34869,1,NON,-1
34870,8,NON,-1
34871,2,OUI,9
34872,8,NON,-1
34873,3,NON,-1
34874,1,OUI,6
34875,4,NON,-1
34876,9,OUI,0
34877,5,NON,-1
34878,9,NON,-1
34879,6,NON,-1
34880,7,OUI,0
34881,7,OUI,0
34882,5,NON,-1
34883,8,NON,-1
34884,1,OUI,11
34885,9,NON,-1
34886,9,NON,-1
34887,0,OUI,1
34888,5,NON,-1
34889,1,OUI,2
34890,7,OUI,2
34891,2,OUI,38
34892,9,NON,-1
34893,3,OUI,0
34894,6,NON,-1
34895,4,OUI,1
34896,6,NON,-1
34897,6,OUI,1
34898,3,OUI,0
34899,7,OUI,3
34900,8,OUI,1
34901,8,NON,-1
34902,2,NON,-1
34903,9,OUI,2
34904,0,NON,-1
34905,6,OUI,1
34906,3,OUI,27
34907,2,NON,-1
34908,5,NON,-1
34909,7,OUI,0
34910,8,NON,-1
34911,1,NON,-1
34912,8,NON,-1
34913,5,NON,-1
34914,7,OUI,0
34915,6,OUI,6
34916,7,NON,-1
34917,2,OUI,4
34918,6,NON,-1
34919,0,OUI,3
34920,9,NON,-1
34921,8,NON,-1
34922,1,OUI,5
34923,1,NON,-1
34924,6,OUI,0
34925,7,NON,-1
34926,1,OUI,4
34927,1,NON,-1
34928,2,OUI,20
34929,8,OUI,0
34930,9,NON,-1
34931,3,NON,-1
34932,5,OUI,5
34933,8,NON,-1
34934,7,OUI,1
34935,7,NON,-1
34936,2,OUI,18
34937,1,OUI,23
34938,1,NON,-1
34939,7,NON,-1
34940,9,OUI,2
34941,7,NON,-1
34942,9,NON,-1
34943,0,OUI,2
34944,2,NON,-1
34945,1,NON,-1
34946,8,NON,-1
34947,4,OUI,1
34948,4,NON,-1
34949,4,NON,-1
34950,1,OUI,8
34951,7,OUI,2
34952,5,OUI,0
34953,4,NON,-1
34954,9,NON,-1
34955,4,OUI,2
34956,6,NON,-1
34957,9,OUI,3
34958,0,NON,-1
34959,7,NON,-1
34960,6,NON,-1
34961,2,OUI,24
34962,9,NON,-1
34963,6,NON,-1
34964,2,OUI,21
34965,5,OUI,2
34966,8,NON,-1
34967,3,NON,-1
34968,8,OUI,1
34969,9,NON,-1
34970,7,NON,-1
34971,4,NON,-1
34972,7,OUI,0
34973,3,OUI,0
34974,8,OUI,3
34975,9,OUI,1
34976,2,OUI,4
34977,0,OUI,2
34978,8,NON,-1
34979,8,OUI,1
34980,1,OUI,12
34981,7,OUI,0
34982,7,NON,-1
34983,9,OUI,2
34984,5,OUI,38
34985,0,OUI,16
34986,8,OUI,2
34987,3,OUI,0
34988,4,OUI,1
34989,0,NON,-1
34990,1,OUI,8
34991,4,OUI,13
34992,1,OUI,7
34993,6,NON,-1
34994,4,OUI,2
34995,3,NON,-1
34996,5,OUI,14
34997,7,NON,-1
34998,7,NON,-1
34999,0,NON,-1
35000,1,OUI,8
35001,1,OUI,1
35002,9,OUI,1
35003,4,OUI,2
35004,9,NON,-1
35005,8,OUI,1
35006,1,OUI,16
35007,8,NON,-1
35008,1,NON,-1
35009,1,NON,-1
35010,3,NON,-1
35011,2,NON,-1
35012,0,OUI,3
35013,9,NON,-1
35014,2,OUI,0
35015,3,NON,-1
35016,9,NON,-1
35017,8,NON,-1
35018,8,NON,-1
35019,9,OUI,1
35020,2,NON,-1
35021,8,OUI,2
35022,3,NON,-1
35023,2,OUI,12
35024,9,OUI,0
35025,8,NON,-1
35026,6,NON,-1
35027,6,OUI,2
35028,0,NON,-1
35029,5,NON,-1
35030,3,OUI,0
35031,2,NON,-1
35032,7,OUI,3
35033,6,NON,-1
35034,6,OUI,0
35035,2,OUI,50
35036,8,NON,-1
35037,6,NON,-1
35038,8,NON,-1
35039,0,OUI,5
35040,5,OUI,0
35041,5,NON,-1
35042,8,NON,-1
35043,3,OUI,0
35044,8,OUI,0
35045,3,OUI,0
35046,5,NON,-1
35047,6,NON,-1
35048,1,NON,-1
35049,3,OUI,0
35050,0,NON,-1
35051,2,OUI,0
35052,1,OUI,17
35053,7,OUI,21
35054,9,NON,-1
35055,6,OUI,1
35056,0,OUI,6
35057,5,NON,-1
35058,3,OUI,9
35059,9,NON,-1
35060,0,OUI,12
35061,8,OUI,1
35062,5,NON,-1
35063,0,OUI,1
35064,0,OUI,15
35065,9,NON,-1
35066,3,OUI,0
35067,0,NON,-1
35068,9,NON,-1
35069,1,NON,-1
35070,9,NON,-1
35071,2,NON,-1
35072,8,NON,-1
35073,3,OUI,0
35074,0,OUI,8
35075,4,OUI,18
35076,2,OUI,3
35077,5,NON,-1
35078,4,OUI,6
35079,6,NON,-1
35080,9,OUI,5
35081,7,NON,-1
35082,5,NON,-1
35083,8,NON,-1
35084,9,NON,-1
35085,9,OUI,21
35086,3,OUI,0
35087,0,NON,-1
35088,8,NON,-1
35089,1,NON,-1
35090,2,NON,-1
35091,2,OUI,9
35092,2,OUI,11
35093,3,NON,-1
35094,1,OUI,19
35095,4,OUI,1
35096,8,NON,-1
35097,5,NON,-1
35098,4,NON,-1
35099,6,OUI,0
35100,5,OUI,3
35101,7,NON,-1
35102,7,OUI,1
35103,8,NON,-1
35104,2,NON,-1
35105,9,NON,-1
35106,2,NON,-1
35107,0,NON,-1
35108,1,NON,-1
35109,1,NON,-1
35110,2,OUI,16
35111,2,OUI,10
35112,2,NON,-1
35113,3,OUI,0
35114,5,OUI,4
35115,4,NON,-1
35116,1,NON,-1
35117,5,NON,-1
35118,9,NON,-1
35119,6,NON,-1
35120,8,OUI,0
35121,7,OUI,0
35122,3,OUI,0
35123,8,NON,-1
35124,2,NON,-1
35125,9,NON,-1
35126,4,OUI,0
35127,9,NON,-1
35128,2,NON,-1
35129,8,OUI,2
35130,7,OUI,4
35131,6,OUI,2
35132,3,OUI,28
35133,5,NON,-1
35134,2,NON,-1
35135,9,OUI,2
35136,4,OUI,0
35137,2,OUI,16
35138,2,NON,-1
35139,3,OUI,0
35140,6,OUI,2
35141,4,OUI,0
35142,4,OUI,22
35143,3,OUI,0
35144,4,OUI,0
35145,8,NON,-1
35146,6,NON,-1
35147,5,OUI,3
35148,0,OUI,2
35149,1,NON,-1
35150,7,NON,-1
35151,5,OUI,6
35152,4,OUI,7
35153,2,OUI,0
35154,6,NON,-1
35155,3,NON,-1
35156,3,NON,-1
35157,0,OUI,6
35158,6,NON,-1
35159,1,NON,-1
35160,9,NON,-1
35161,2,OUI,0
35162,3,OUI,25
35163,1,NON,-1
35164,5,NON,-1
35165,3,OUI,0
35166,4,OUI,0
35167,2,OUI,5
35168,1,NON,-1
35169,6,NON,-1
35170,3,NON,-1
35171,5,NON,-1
35172,5,OUI,1
35173,3,NON,-1
35174,9,NON,-1
35175,0,OUI,2
35176,7,OUI,21
35177,7,OUI,0
35178,4,OUI,1
35179,4,OUI,2
35180,3,OUI,0
35181,6,NON,-1
35182,9,NON,-1
35183,4,OUI,0
35184,6,NON,-1
35185,0,NON,-1
35186,4,NON,-1
35187,5,OUI,1
35188,9,NON,-1
35189,9,NON,-1
35190,3,NON,-1
35191,9,NON,-1
35192,0,NON,-1
35193,8,NON,-1
35194,9,NON,-1
35195,3,OUI,0
35196,7,OUI,34
35197,1,NON,-1
35198,2,NON,-1
35199,7,NON,-1
35200,6,NON,-1
35201,4,OUI,1
35202,2,NON,-1
35203,7,OUI,0
35204,6,NON,-1
35205,6,NON,-1
35206,6,OUI,32
35207,5,NON,-1
35208,3,NON,-1
35209,0,OUI,20
35210,6,NON,-1
35211,6,NON,-1
35212,1,OUI,8
35213,6,NON,-1
35214,5,OUI,34
35215,2,OUI,24
35216,2,NON,-1
35217,0,OUI,2
35218,9,NON,-1
35219,6,NON,-1
35220,2,OUI,8
35221,3,OUI,0
35222,6,NON,-1
35223,7,OUI,0
35224,5,OUI,13
35225,7,OUI,0
35226,3,OUI,0
35227,4,OUI,1
35228,5,OUI,1
35229,4,OUI,0
35230,8,OUI,9
35231,3,NON,-1
35232,8,NON,-1
35233,9,NON,-1
35234,4,NON,-1
35235,2,OUI,12
35236,1,NON,-1
35237,8,OUI,2
35238,6,NON,-1
35239,9,NON,-1
35240,2,NON,-1
35241,6,NON,-1
35242,8,OUI,0
35243,0,OUI,3
35244,1,OUI,5
35245,9,NON,-1
35246,8,NON,-1
35247,5,NON,-1
35248,3,NON,-1
35249,3,OUI,0
35250,2,OUI,0
35251,8,OUI,0
35252,1,OUI,6
35253,8,NON,-1
35254,4,OUI,1
35255,7,OUI,0
35256,4,OUI,13
35257,1,NON,-1
35258,4,OUI,21
35259,4,OUI,2
35260,7,OUI,13
35261,0,OUI,18
35262,0,OUI,2
35263,4,OUI,11
35264,8,NON,-1
35265,8,NON,-1
35266,1,OUI,6
35267,5,NON,-1
35268,5,NON,-1
35269,2,NON,-1
35270,1,OUI,7
35271,3,OUI,0
35272,3,NON,-1
35273,9,NON,-1
35274,5,NON,-1
35275,0,OUI,21
35276,5,NON,-1
35277,7,NON,-1
35278,1,OUI,4
35279,2,OUI,1
35280,6,NON,-1
35281,1,OUI,2
35282,0,OUI,1
35283,9,NON,-1
35284,6,NON,-1
35285,1,OUI,6
35286,1,OUI,4
35287,5,NON,-1
35288,2,OUI,0
35289,1,NON,-1
35290,2,NON,-1
35291,7,NON,-1
35292,9,NON,-1
35293,4,OUI,19
35294,0,OUI,3
35295,8,NON,-1
35296,9,NON,-1
35297,6,NON,-1
35298,2,NON,-1
35299,1,OUI,1
35300,8,NON,-1
35301,2,NON,-1
35302,0,OUI,5
35303,1,OUI,7
35304,4,NON,-1
35305,6,NON,-1
35306,7,OUI,0
35307,8,NON,-1
35308,8,OUI,3
35309,8,NON,-1
35310,5,NON,-1
35311,0,NON,-1
35312,4,NON,-1
35313,1,NON,-1
35314,4,OUI,2
35315,2,OUI,2
35316,7,OUI,5
35317,3,OUI,1
35318,6,NON,-1
35319,4,NON,-1
35320,0,NON,-1
35321,7,NON,-1
35322,6,OUI,1
35323,8,NON,-1
35324,4,OUI,20
35325,9,NON,-1
35326,5,NON,-1
35327,0,OUI,4
35328,1,NON,-1
35329,1,OUI,21
35330,9,NON,-1
35331,2,NON,-1
35332,9,OUI,1
35333,3,NON,-1
35334,7,OUI,0
35335,4,OUI,1
35336,3,NON,-1
35337,7,OUI,0
35338,8,NON,-1
35339,8,NON,-1
35340,2,NON,-1
35341,9,NON,-1
35342,6,NON,-1
35343,0,OUI,6
35344,2,NON,-1
35345,1,OUI,7
35346,3,OUI,17
35347,2,OUI,3
35348,0,OUI,3
35349,3,NON,-1
35350,5,NON,-1
35351,7,OUI,2
35352,1,OUI,11
35353,8,NON,-1
35354,3,OUI,0
35355,9,OUI,23
35356,2,OUI,0
35357,1,NON,-1
35358,9,NON,-1
35359,1,OUI,1
35360,1,NON,-1
35361,7,OUI,1
35362,4,OUI,3
35363,4,NON,-1
35364,8,NON,-1
35365,8,NON,-1
35366,3,OUI,30
35367,1,OUI,7
35368,9,NON,-1
35369,5,NON,-1
35370,1,OUI,5
35371,7,NON,-1
35372,7,OUI,2
35373,2,OUI,41
35374,9,NON,-1
35375,8,NON,-1
35376,3,NON,-1
35377,6,NON,-1
35378,2,NON,-1
35379,3,OUI,0
35380,9,OUI,0
35381,3,NON,-1
35382,7,NON,-1
35383,8,NON,-1
35384,9,NON,-1
35385,6,NON,-1
35386,1,OUI,7
35387,9,NON,-1
35388,5,NON,-1
35389,1,NON,-1
35390,5,NON,-1
35391,7,NON,-1
35392,4,OUI,0
35393,2,NON,-1
35394,5,NON,-1
35395,1,NON,-1
35396,1,NON,-1
35397,5,NON,-1
35398,8,OUI,0
35399,1,NON,-1
35400,0,OUI,22
35401,3,OUI,2
35402,4,NON,-1
35403,2,OUI,0
35404,1,OUI,6
35405,2,OUI,0
35406,5,NON,-1
35407,3,OUI,0
35408,0,NON,-1
35409,0,NON,-1
35410,2,NON,-1
35411,6,NON,-1
35412,4,NON,-1
35413,4,OUI,9
35414,1,OUI,8
35415,3,OUI,2
35416,7,OUI,0
35417,7,OUI,0
35418,4,OUI,0
35419,6,OUI,3
35420,5,NON,-1
35421,9,NON,-1
35422,3,OUI,24
35423,0,NON,-1
35424,6,NON,-1
35425,4,OUI,15
35426,6,NON,-1
35427,1,NON,-1
35428,8,OUI,0
35429,4,NON,-1
35430,1,NON,-1
35431,0,OUI,26
35432,0,NON,-1
35433,6,NON,-1
35434,3,NON,-1
35435,1,NON,-1
35436,1,NON,-1
35437,2,OUI,0
35438,8,NON,-1
35439,6,NON,-1
35440,9,OUI,3
35441,9,NON,-1
35442,4,OUI,1
35443,2,OUI,21
35444,9,NON,-1
35445,2,OUI,12
35446,7,OUI,0
35447,3,NON,-1
35448,1,NON,-1
35449,0,NON,-1
35450,7,NON,-1
35451,7,NON,-1
35452,6,OUI,4
35453,2,NON,-1
35454,2,OUI,35
35455,9,NON,-1
35456,2,NON,-1
35457,2,OUI,21
35458,3,OUI,23
35459,3,NON,-1
35460,8,OUI,3
35461,4,OUI,15
35462,5,NON,-1
35463,0,OUI,2
35464,9,NON,-1
35465,0,NON,-1
35466,5,OUI,2
35467,8,NON,-1
35468,6,NON,-1
35469,7,OUI,1
35470,6,NON,-1
35471,8,NON,-1
35472,4,NON,-1
35473,0,OUI,1
35474,7,OUI,2
35475,9,NON,-1
35476,7,NON,-1
35477,8,OUI,1
35478,2,OUI,15
35479,9,NON,-1
35480,9,NON,-1
35481,0,NON,-1
35482,4,NON,-1
35483,2,OUI,17
35484,8,NON,-1
35485,0,NON,-1
35486,3,OUI,5
35487,1,NON,-1
35488,0,OUI,0
35489,2,NON,-1
35490,4,NON,-1
35491,3,NON,-1
35492,2,NON,-1
35493,4,OUI,27
35494,2,NON,-1
35495,5,NON,-1
35496,1,OUI,6
35497,6,NON,-1
35498,3,OUI,0
35499,7,OUI,0
35500,5,NON,-1
35501,8,NON,-1
35502,0,OUI,2
35503,9,OUI,0
35504,3,NON,-1
35505,0,NON,-1
35506,9,NON,-1
35507,1,NON,-1
35508,1,OUI,7
35509,2,NON,-1
35510,2,OUI,2
35511,3,OUI,0
35512,7,NON,-1
35513,4,OUI,1
35514,1,OUI,11
35515,5,NON,-1
35516,0,NON,-1
35517,6,NON,-1
35518,7,NON,-1
35519,7,OUI,0
35520,3,OUI,26
35521,8,NON,-1
35522,3,OUI,1
35523,9,NON,-1
35524,9,NON,-1
35525,0,NON,-1
35526,8,OUI,4
35527,1,NON,-1
35528,3,NON,-1
35529,2,NON,-1
35530,3,OUI,0
35531,3,OUI,0
35532,9,NON,-1
35533,4,NON,-1
35534,4,OUI,6
35535,5,NON,-1
35536,0,OUI,3
35537,6,NON,-1
35538,1,OUI,0
35539,7,OUI,3
35540,6,NON,-1
35541,8,NON,-1
35542,3,OUI,25
35543,9,NON,-1
35544,7,NON,-1
35545,5,NON,-1
35546,4,NON,-1
35547,8,NON,-1
35548,3,NON,-1
35549,7,OUI,0
35550,3,NON,-1
35551,4,OUI,25
35552,1,OUI,12
35553,7,NON,-1
35554,1,OUI,14
35555,7,OUI,0
35556,9,NON,-1
35557,3,OUI,1
35558,1,OUI,4
35559,8,NON,-1
35560,7,NON,-1
35561,8,NON,-1
35562,3,OUI,0
35563,3,OUI,0
35564,6,OUI,4
35565,1,NON,-1
35566,6,NON,-1
35567,5,OUI,0
35568,3,OUI,0
35569,8,NON,-1
35570,5,OUI,3
35571,2,NON,-1
35572,2,OUI,2
35573,7,OUI,2
35574,3,NON,-1
35575,6,OUI,0
35576,8,NON,-1
35577,8,NON,-1
35578,6,NON,-1
35579,6,NON,-1
35580,7,OUI,1
35581,4,OUI,25
35582,3,NON,-1
35583,4,OUI,4
35584,4,NON,-1
35585,4,OUI,1
35586,1,OUI,8
35587,1,OUI,20
35588,6,NON,-1
35589,8,NON,-1
35590,4,NON,-1
35591,8,OUI,9
35592,1,NON,-1
35593,9,OUI,0
35594,7,OUI,2
35595,1,OUI,2
35596,1,OUI,5
35597,2,NON,-1
35598,9,NON,-1
35599,2,NON,-1
35600,1,OUI,4
35601,6,OUI,1
35602,5,NON,-1
35603,9,OUI,1
35604,8,OUI,1
35605,9,OUI,3
35606,2,OUI,5
35607,6,OUI,0
35608,5,OUI,10
35609,5,NON,-1
35610,3,OUI,0
35611,5,OUI,3
35612,0,NON,-1
35613,3,NON,-1
35614,6,NON,-1
35615,3,NON,-1
35616,6,NON,-1
35617,8,NON,-1
35618,5,OUI,4
35619,8,NON,-1
35620,0,OUI,0
35621,1,NON,-1
35622,3,OUI,21
35623,9,NON,-1
35624,4,NON,-1
35625,7,OUI,0
35626,4,OUI,20
35627,6,NON,-1
35628,5,NON,-1
35629,8,NON,-1
35630,2,NON,-1
35631,3,OUI,8
35632,0,NON,-1
35633,7,OUI,1
35634,0,NON,-1
35635,4,OUI,15
35636,7,NON,-1
35637,7,OUI,2
35638,2,OUI,3
35639,0,OUI,15
35640,3,NON,-1
35641,9,NON,-1
35642,1,OUI,3
35643,3,OUI,2
35644,2,NON,-1
35645,7,OUI,2
35646,0,NON,-1
35647,9,NON,-1
35648,7,OUI,0
35649,3,NON,-1
35650,5,OUI,1
35651,0,OUI,17
35652,2,OUI,1
35653,2,OUI,16
35654,1,NON,-1
35655,0,NON,-1
35656,4,OUI,0
35657,1,OUI,5
35658,3,NON,-1
35659,0,OUI,13
35660,0,NON,-1
35661,1,NON,-1
35662,4,NON,-1
35663,0,NON,-1
35664,6,OUI,0
35665,4,OUI,11
35666,9,NON,-1
35667,0,OUI,6
35668,7,OUI,0
35669,1,NON,-1
35670,2,OUI,0
35671,0,OUI,12
35672,9,NON,-1
35673,4,OUI,2
35674,5,NON,-1
35675,7,OUI,2
35676,9,NON,-1
35677,9,NON,-1
35678,2,OUI,18
35679,2,OUI,7
35680,0,OUI,5
35681,0,OUI,8
35682,6,OUI,10
35683,6,NON,-1
35684,6,NON,-1
35685,2,NON,-1
35686,4,NON,-1
35687,6,OUI,5
35688,3,NON,-1
35689,2,OUI,6
35690,2,OUI,0
35691,2,OUI,13
35692,3,NON,-1
35693,9,OUI,0
35694,9,NON,-1
35695,9,NON,-1
35696,7,NON,-1
35697,0,OUI,4
35698,1,OUI,3
35699,1,OUI,4
35700,0,OUI,7
35701,2,OUI,7
35702,5,OUI,2
35703,3,OUI,0
35704,8,NON,-1
35705,4,OUI,0
35706,8,NON,-1
35707,5,OUI,13
35708,0,NON,-1
35709,6,NON,-1
35710,1,NON,-1
35711,7,OUI,0
35712,0,NON,-1
35713,8,OUI,0
35714,6,NON,-1
35715,9,OUI,0
35716,4,OUI,19
35717,0,OUI,2
35718,6,NON,-1
35719,1,OUI,2
35720,0,NON,-1
35721,2,NON,-1
35722,1,NON,-1
35723,3,OUI,0
35724,9,NON,-1
35725,4,OUI,0
35726,6,NON,-1
35727,5,NON,-1
35728,7,OUI,1
35729,6,NON,-1
35730,8,NON,-1
35731,7,NON,-1
35732,9,NON,-1
35733,8,OUI,0
35734,6,NON,-1
35735,9,OUI,1
35736,6,NON,-1
35737,1,OUI,4
35738,5,OUI,2
35739,0,OUI,14
35740,0,NON,-1
35741,9,NON,-1
35742,0,NON,-1
35743,5,NON,-1
35744,3,NON,-1
35745,7,OUI,0
35746,0,OUI,3
35747,5,OUI,0
35748,4,OUI,15
35749,1,OUI,10
35750,6,NON,-1
35751,8,NON,-1
35752,4,NON,-1
35753,6,NON,-1
35754,7,NON,-1
35755,9,NON,-1
35756,1,OUI,2
35757,0,OUI,2
35758,2,OUI,14
35759,4,NON,-1
35760,9,NON,-1
35761,1,OUI,7
35762,8,NON,-1
35763,9,NON,-1
35764,8,NON,-1
35765,3,OUI,0
35766,5,OUI,0
35767,8,OUI,2
35768,6,NON,-1
35769,4,OUI,0
35770,2,NON,-1
35771,4,OUI,2
35772,8,OUI,2
35773,7,OUI,0
35774,1,OUI,41
35775,0,OUI,14
35776,8,OUI,0
35777,1,OUI,10
35778,0,NON,-1
35779,2,NON,-1
35780,4,OUI,34
35781,7,NON,-1
35782,0,NON,-1
35783,8,NON,-1
35784,5,OUI,7
35785,2,NON,-1
35786,9,NON,-1
35787,5,OUI,1
35788,8,NON,-1
35789,9,OUI,0
35790,7,OUI,12
35791,6,NON,-1
35792,1,NON,-1
35793,0,OUI,0
35794,3,OUI,0
35795,6,NON,-1
35796,3,OUI,18
35797,5,NON,-1
35798,1,OUI,2
35799,5,OUI,20
35800,0,OUI,2
35801,3,NON,-1
35802,2,OUI,0
35803,3,OUI,48
35804,9,NON,-1
35805,3,NON,-1
35806,3,OUI,1
35807,9,OUI,0
35808,6,NON,-1
35809,8,OUI,0
35810,6,OUI,1
35811,1,OUI,2
35812,9,NON,-1
35813,4,NON,-1
35814,3,OUI,24
35815,0,OUI,13
35816,0,OUI,1
35817,6,NON,-1
35818,4,NON,-1
35819,1,OUI,3
35820,1,NON,-1
35821,0,NON,-1
35822,4,NON,-1
35823,0,OUI,2
35824,9,NON,-1
35825,6,NON,-1
35826,1,OUI,7
35827,2,NON,-1
35828,6,OUI,3
35829,1,NON,-1
35830,4,OUI,28
35831,1,OUI,1
35832,2,OUI,0
35833,3,OUI,0
35834,7,OUI,1
35835,2,NON,-1
35836,9,NON,-1
35837,7,NON,-1
35838,5,OUI,3
35839,7,NON,-1
35840,4,OUI,0
35841,8,NON,-1
35842,7,NON,-1
35843,8,NON,-1
35844,6,OUI,1
35845,7,NON,-1
35846,6,NON,-1
35847,8,OUI,1
35848,8,NON,-1
35849,4,NON,-1
35850,2,OUI,0
35851,6,NON,-1
35852,4,NON,-1
35853,0,OUI,0
35854,9,NON,-1
35855,7,OUI,0
35856,1,OUI,15
35857,0,OUI,0
35858,5,NON,-1
35859,3,NON,-1
35860,7,NON,-1
35861,6,OUI,12
35862,1,OUI,6
35863,7,NON,-1
35864,5,NON,-1
35865,1,OUI,4
35866,4,NON,-1
35867,5,OUI,3
35868,6,NON,-1
35869,3,NON,-1
35870,3,OUI,1
35871,7,OUI,1
35872,2,OUI,3
35873,2,OUI,2
35874,3,OUI,14
35875,4,NON,-1
35876,3,NON,-1
35877,9,NON,-1
35878,9,NON,-1
35879,4,OUI,3
35880,1,NON,-1
35881,3,OUI,1
35882,2,NON,-1
35883,6,NON,-1
35884,4,OUI,4
35885,2,NON,-1
35886,6,NON,-1
35887,2,OUI,4
35888,6,NON,-1
35889,5,OUI,0
35890,3,NON,-1
35891,3,OUI,17
35892,9,NON,-1
35893,9,OUI,0
35894,9,OUI,1
35895,4,OUI,1
35896,0,NON,-1
35897,1,OUI,6
35898,3,OUI,36
35899,7,NON,-1
35900,1,NON,-1
35901,2,OUI,0
35902,2,OUI,0
35903,5,NON,-1
35904,4,NON,-1
35905,0,NON,-1
35906,5,NON,-1
35907,1,NON,-1
35908,1,NON,-1
35909,2,OUI,0
35910,6,OUI,4
35911,3,NON,-1
35912,1,NON,-1
35913,4,OUI,17
35914,3,NON,-1
35915,5,NON,-1
35916,8,NON,-1
35917,6,NON,-1
35918,6,NON,-1
35919,7,NON,-1
35920,7,OUI,1
35921,8,NON,-1
35922,3,NON,-1
35923,0,NON,-1
35924,8,NON,-1
35925,1,OUI,7
35926,4,OUI,15
35927,2,OUI,0
35928,8,OUI,0
35929,3,OUI,39
35930,2,NON,-1
35931,4,OUI,5
35932,8,NON,-1
35933,5,NON,-1
35934,0,NON,-1
35935,6,NON,-1
35936,0,OUI,18
35937,7,NON,-1
35938,7,OUI,1
35939,8,OUI,8
35940,8,OUI,1
35941,9,NON,-1
35942,1,NON,-1
35943,0,NON,-1
35944,3,NON,-1
35945,1,OUI,1
35946,4,NON,-1
35947,2,OUI,0
35948,6,NON,-1
35949,3,NON,-1
35950,8,OUI,4
35951,4,NON,-1
35952,4,NON,-1
35953,5,NON,-1
35954,3,NON,-1
35955,6,NON,-1
35956,9,NON,-1
35957,7,OUI,0
35958,8,OUI,2
35959,0,OUI,8
35960,7,OUI,0
35961,7,NON,-1
35962,6,NON,-1
35963,0,NON,-1
35964,4,NON,-1
35965,7,NON,-1
35966,4,OUI,52
35967,8,NON,-1
35968,6,NON,-1
35969,3,NON,-1
35970,2,NON,-1
35971,0,NON,-1
35972,0,OUI,2
35973,0,NON,-1
35974,2,NON,-1
35975,5,NON,-1
35976,5,OUI,2
35977,5,NON,-1
35978,7,OUI,0
35979,3,NON,-1
35980,7,NON,-1
35981,8,NON,-1
35982,0,OUI,12
35983,8,NON,-1
35984,3,OUI,0
35985,1,NON,-1
35986,3,OUI,0
35987,8,NON,-1
35988,6,OUI,1
35989,4,NON,-1
35990,1,OUI,6
35991,9,NON,-1
35992,2,OUI,0
35993,6,NON,-1
35994,0,OUI,5
35995,1,OUI,5
35996,9,NON,-1
35997,8,NON,-1
35998,7,NON,-1
35999,0,NON,-1
36000,9,OUI,3
36001,2,OUI,3
36002,6,OUI,0
36003,7,OUI,0
36004,9,NON,-1
36005,3,NON,-1
36006,2,NON,-1
36007,9,NON,-1
36008,8,NON,-1
36009,2,NON,-1
36010,8,NON,-1
36011,5,NON,-1
36012,7,OUI,0
36013,9,NON,-1
36014,6,NON,-1
36015,5,OUI,6
36016,2,NON,-1
36017,4,OUI,37
36018,3,OUI,2
36019,0,OUI,8
36020,8,NON,-1
36021,3,OUI,3
36022,0,OUI,1
36023,3,OUI,31
36024,9,NON,-1
36025,4,OUI,2
36026,5,NON,-1
36027,7,NON,-1
36028,5,OUI,6
36029,9,NON,-1
36030,1,NON,-1
36031,0,NON,-1
36032,3,NON,-1
36033,1,NON,-1
36034,8,NON,-1
36035,9,NON,-1
36036,6,NON,-1
36037,1,OUI,25
36038,6,OUI,19
36039,2,OUI,4
36040,0,OUI,0
36041,7,NON,-1
36042,1,NON,-1
36043,9,NON,-1
36044,9,OUI,3
36045,1,NON,-1
36046,3,NON,-1
36047,0,NON,-1
36048,3,OUI,0
36049,6,NON,-1
36050,9,NON,-1
36051,2,OUI,0
36052,7,NON,-1
36053,4,OUI,15
36054,8,NON,-1
36055,0,NON,-1
36056,2,OUI,18
36057,3,OUI,0
36058,9,NON,-1
36059,5,NON,-1
36060,5,NON,-1
36061,6,NON,-1
36062,9,OUI,3
36063,6,OUI,0
36064,2,OUI,0
36065,5,NON,-1
36066,8,NON,-1
36067,6,NON,-1
36068,6,NON,-1
36069,7,NON,-1
36070,6,NON,-1
36071,1,OUI,25
36072,2,OUI,0
36073,4,OUI,2
36074,9,NON,-1
36075,4,OUI,7
36076,3,OUI,0
36077,2,OUI,23
36078,3,OUI,0
36079,6,NON,-1
36080,9,NON,-1
36081,2,OUI,0
36082,3,OUI,0
36083,9,OUI,5
36084,0,OUI,2
36085,1,OUI,3
36086,5,OUI,29
36087,5,NON,-1
36088,7,NON,-1
36089,5,NON,-1
36090,0,NON,-1
36091,5,NON,-1
36092,4,NON,-1
36093,3,NON,-1
36094,1,NON,-1
36095,1,OUI,2
36096,8,NON,-1
36097,4,OUI,24
36098,1,OUI,24
36099,8,NON,-1
36100,2,OUI,2
36101,6,OUI,0
36102,9,NON,-1
